date,price,,
01/01/16,6090.09,,
01/02/16,6181.76,,
01/03/16,6047.7,,
01/04/16,6012.37,,
01/05/16,6306.59,,
01/06/16,6778.28,,
01/07/16,7389.8,,
01/08/16,8616.01,,
01/09/16,9074.56,,
01/10/16,8888.55,,
01/11/16,10244.33,,
01/12/16,11322.67,,
01/01/17,11377.43,,
01/02/17,10081.5,,
01/03/17,8614.33,,
01/04/17,7592.37,,
01/05/17,7650.47,,
01/06/17,7547.04,,
01/07/17,7308.67,,
01/08/17,6812.24,,
01/09/17,6702.12,,
01/10/17,6961.48,,
01/11/17,6960.04,,
01/12/17,6749.39,,
01/01/18,6422.4,,
01/02/18,6074.24,,
01/03/18,5904.14,,
01/04/18,5737.54,,
01/05/18,5487.11,,
01/06/18,5341.42,,
01/07/18,5157.19,,
01/08/18,5220.89,,
01/09/18,5415.91,,
01/10/18,5400.38,,
01/11/18,5364.11,,
01/12/18,5460.53,,
01/01/19,5598.6,,
01/02/19,5667.49,,
01/03/19,5625.94,,
01/04/19,5598.11,,
01/05/19,5573.26,,
01/06/19,5597.55,,
01/07/19,5612.12,,
01/08/19,5643,,
01/09/19,5635.87,,
01/10/19,5610.25,,
01/11/19,5637.61,,
01/12/19,5641.27,,
01/01/20,5667.28,,
01/02/20,5696.05,,
01/03/20,5638.02,,
01/04/20,5602.87,,
01/05/20,5912.12,,
01/06/20,5750.58,,
01/07/20,5548,,
01/08/20,5459.06,,
01/09/20,5382.64,,
01/10/20,5720.35,,
01/11/20,6121.7,,
01/12/20,6427.7,,
01/01/21,6487.66,,
01/02/21,6417.32,,
01/03/21,6241.22,,
01/04/21,6394.48,,
01/05/21,6592.23,,
01/06/21,6864.07,,
01/07/21,6810.95,,
01/08/21,6619.45,,
01/09/21,6619.12,,
01/10/21,6598.38,,
01/11/21,6584.05,,
01/12/21,6570.49,,
01/01/22,6549.95,,
01/02/22,6395.64,,
01/03/22,6422.9,,
01/04/22,6476.13,,
01/05/22,6451.82,,
01/06/22,6421.56,,
01/07/22,6359.54,,
01/08/22,6310.36,,
01/09/22,6292.48,,
01/10/22,6300.63,,
01/11/22,6267.67,,
01/12/22,6291.47,,
01/01/23,6311.76,,
01/02/23,6268.14,,
01/03/23,6196.44,,
01/04/23,6227.8,,
01/05/23,6321.2,,
01/06/23,6334.2,,
01/07/23,6317.92,,
01/08/23,6339.09,,
01/09/23,6489.73,,
01/10/23,6858.02,,
01/11/23,7060.94,,
01/12/23,7148.15,,
01/01/24,7130.05,,
01/02/24,7021.4,,
01/03/24,7005.76,,
01/04/24,7087.82,,
01/05/24,7101.2,,
01/06/24,7221.05,,
01/07/24,7561.18,,
01/08/24,7825.85,,
01/09/24,8059.29,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
