date,price
01/01/16,2208.59
01/02/16,2255.03
01/03/16,2200.84
01/04/16,2169.91
01/05/16,2197.00
01/06/16,2254.21
01/07/16,2324.69
01/08/16,2417.07
01/09/16,2392.11
01/10/16,2368.35
01/11/16,2402.42
01/12/16,2373.47
01/01/17,2421.69
01/02/17,2397.10
01/03/17,2392.05
01/04/17,2413.09
01/05/17,2445.69
01/06/17,2484.12
01/07/17,2478.11
01/08/17,2473.91
01/09/17,2536.64
01/10/17,2591.64
01/11/17,2595.37
01/12/17,2628.31
01/01/18,2628.90
01/02/18,2599.47
01/03/18,2623.95
01/04/18,2597.89
01/05/18,2588.74
01/06/18,2598.69
01/07/18,2630.11
01/08/18,2649.94
01/09/18,2673.86
01/10/18,2685.22
01/11/18,2680.95
01/12/18,2671.49
01/01/19,2650.05
01/02/19,2652.06
01/03/19,2675.71
01/04/19,2647.29
01/05/19,2645.77
01/06/19,2656.55
01/07/19,2669.28
01/08/19,2688.36
01/09/19,2671.68
01/10/19,2688.31
01/11/19,2681.19
01/12/19,2699.90
01/01/20,2665.66
01/02/20,2680.11
01/03/20,2646.34
01/04/20,2671.23
01/05/20,2698.39
01/06/20,2678.73
01/07/20,2694.04
01/08/20,2667.61
01/09/20,2700.74
01/10/20,2731.39
01/11/20,2718.49
01/12/20,2729.45
01/01/21,2689.96
01/02/21,2669.79
01/03/21,2717.87
01/04/21,2749.53
01/05/21,2895.76
01/06/21,2958.17
01/07/21,2895.60
01/08/21,2881.63
01/09/21,2850.04
01/10/21,2877.90
01/11/21,2887.37
01/12/21,2922.33
01/01/22,2905.59
01/02/22,2904.66
01/03/22,2953.14
01/04/22,3015.63
01/05/22,3005.53
01/06/22,3034.04
01/07/22,3036.06
01/08/22,3085.43
01/09/22,3223.47
01/10/22,3291.39
01/11/22,3242.38
01/12/22,3218.59
01/01/23,3204.49
01/02/23,3181.31
01/03/23,3213.01
01/04/23,3261.95
01/05/23,3326.34
01/06/23,3315.31
01/07/23,3350.90
01/08/23,3427.98
01/09/23,3488.10
01/10/23,3542.09
01/11/23,3564.91
01/12/23,3541.53
01/01/24,3535.15
01/02/24,3515.48
01/03/24,3533.73
01/04/24,3528.39
01/05/24,3541.42
01/06/24,3542.40
01/07/24,3587.72
01/08/24,3591.54
01/09/24,3581.25
