date,price
01/01/16,2100.78
01/02/16,2240.45
01/03/16,2232.6
01/04/16,2246.82
01/05/16,2279.68
01/06/16,2220.6
01/07/16,2228.72
01/08/16,2271.72
01/09/16,2286.65
01/10/16,2293.57
01/11/16,2289.42
01/12/16,2296.01
01/01/17,2332.17
01/02/17,2328.96
01/03/17,2377.93
01/04/17,2365.46
01/05/17,2335.89
01/06/17,2342.57
01/07/17,2388.05
01/08/17,2408.41
01/09/17,2370.25
01/10/17,2398.3
01/11/17,2433.66
01/12/17,2443.21
01/01/18,2434.05
01/02/18,2460.49
01/03/18,2422.69
01/04/18,2451.35
01/05/18,2477.64
01/06/18,2491.71
01/07/18,2499.62
01/08/18,2485.44
01/09/18,2495.07
01/10/18,2465.34
01/11/18,2460.77
01/12/18,2468.29
01/01/19,2486.72
01/02/19,2491.7
01/03/19,2494.72
01/04/19,2513.88
01/05/19,2525.03
01/06/19,2549.63
01/07/19,2577.6
01/08/19,2606.39
01/09/19,2591.59
01/10/19,2624.69
01/11/19,2678.15
01/12/19,2673.53
01/01/20,2679.92
01/02/20,2677.63
01/03/20,2680.49
01/04/20,2688.43
01/05/20,2706.29
01/06/20,2692.43
01/07/20,2695.77
01/08/20,2718.83
01/09/20,2728.52
01/10/20,2707.66
01/11/20,2687.31
01/12/20,2679.17
01/01/21,2681.58
01/02/21,2730.99
01/03/21,2718.07
01/04/21,2708.78
01/05/21,2726.85
01/06/21,2822.13
01/07/21,2795.31
01/08/21,2776.31
01/09/21,2808.52
01/10/21,2759.93
01/11/21,2735.78
01/12/21,2707.05
01/01/22,2715.03
01/02/22,2659.25
01/03/22,2759.01
01/04/22,2865.24
01/05/22,2805.43
01/06/22,2768.14
01/07/22,2802.6
01/08/22,2817.64
01/09/22,2861.49
01/10/22,2916.21
01/11/22,2953.86
01/12/22,2994.02
01/01/23,3013.4
01/02/23,2982.18
01/03/23,3028.82
01/04/23,3034.77
01/05/23,3073.42
01/06/23,3083.37
01/07/23,3119.07
01/08/23,3151.91
01/09/23,3196.22
01/10/23,3222.3
01/11/23,3243.24
01/12/23,3272.01
01/01/24,3291.22
01/02/24,3310.15
01/03/24,3350.36
01/04/24,3378.86
01/05/24,3368.76
01/06/24,3376.07
01/07/24,3415.76
01/08/24,3473.33
01/09/24,3514.2
