date,price
01/01/16,2201.70
01/02/16,2280.37
01/03/16,2201.28
01/04/16,2123.46
01/05/16,2144.08
01/06/16,2279.42
01/07/16,2403.14
01/08/16,2441.98
01/09/16,2480.60
01/10/16,2505.52
01/11/16,2483.90
01/12/16,2530.52
01/01/17,2510.12
01/02/17,2438.50
01/03/17,2454.40
01/04/17,2505.05
01/05/17,2491.36
01/06/17,2518.06
01/07/17,2613.72
01/08/17,2651.71
01/09/17,2639.47
01/10/17,2696.12
01/11/17,2714.04
01/12/17,2691.25
01/01/18,2750.46
01/02/18,3139.22
01/03/18,3164.38
01/04/18,3218.38
01/05/18,3262.50
01/06/18,3145.58
01/07/18,3077.88
01/08/18,3143.30
01/09/18,3101.45
01/10/18,3308.80
01/11/18,3216.88
01/12/18,3208.76
01/01/19,3155.00
01/02/19,3032.22
01/03/19,2984.36
01/04/19,3103.97
01/05/19,3117.92
01/06/19,3134.25
01/07/19,3213.31
01/08/19,3195.47
01/09/19,3196.15
01/10/19,3163.32
01/11/19,2919.84
01/12/19,3219.16
01/01/20,3184.82
01/02/20,3017.44
01/03/20,2959.44
01/04/20,2828.23
01/05/20,3211.15
01/06/20,3116.68
01/07/20,3178.83
01/08/20,3130.36
01/09/20,3018.98
01/10/20,3143.30
01/11/20,3228.28
01/12/20,3221.32
01/01/21,3205.13
01/02/21,2952.42
01/03/21,3000.99
01/04/21,3067.66
01/05/21,2913.03
01/06/21,2710.07
01/07/21,2799.30
01/08/21,2903.13
01/09/21,2788.51
01/10/21,2733.51
01/11/21,2565.72
01/12/21,2561.17
01/01/22,2558.26
01/02/22,2435.43
01/03/22,2567.50
01/04/22,2719.85
01/05/22,2726.57
01/06/22,2793.41
01/07/22,2760.76
01/08/22,2845.93
01/09/22,2882.19
01/10/22,3104.38
01/11/22,3045.57
01/12/22,3039.38
01/01/23,3124.00
01/02/23,3189.96
01/03/23,3304.41
01/04/23,3307.97
01/05/23,3289.63
01/06/23,3338.76
01/07/23,3491.14
01/08/23,3644.16
01/09/23,3709.69
01/10/23,3765.11
01/11/23,3778.13
01/12/23,3795.39
01/01/24,3802.98
01/02/24,3838.00
01/03/24,3861.14
01/04/24,3884.05
01/05/24,3896.25
01/06/24,3891.13
01/07/24,3935.97
01/08/24,3958.22
01/09/24,3968.07
