date,price
01/01/16,2731.87
01/02/16,2761.89
01/03/16,2741.30
01/04/16,2692.41
01/05/16,2639.98
01/06/16,2668.30
01/07/16,2695.17
01/08/16,2709.95
01/09/16,2746.56
01/10/16,2744.17
01/11/16,2794.00
01/12/16,2865.17
01/01/17,2986.00
01/02/17,3088.75
01/03/17,3168.18
01/04/17,3174.41
01/05/17,3113.90
01/06/17,3099.12
01/07/17,3135.90
01/08/17,3203.72
01/09/17,3182.97
01/10/17,3146.64
01/11/17,3125.29
01/12/17,3146.15
01/01/18,3126.20
01/02/18,3165.98
01/03/18,3156.32
01/04/18,3128.35
01/05/18,3086.37
01/06/18,3098.56
01/07/18,3142.16
01/08/18,3112.14
01/09/18,3068.08
01/10/18,3020.02
01/11/18,3026.18
01/12/18,3041.53
01/01/19,3104.70
01/02/19,3039.37
01/03/19,3074.84
01/04/19,3091.31
01/05/19,3118.39
01/06/19,3180.68
01/07/19,3259.43
01/08/19,3307.48
01/09/19,3443.03
01/10/19,3586.32
01/11/19,3668.17
01/12/19,3705.35
01/01/20,3714.21
01/02/20,3709.80
01/03/20,3744.68
01/04/20,3722.84
01/05/20,3912.40
01/06/20,3906.79
01/07/20,3890.86
01/08/20,3904.17
01/09/20,3910.09
01/10/20,3920.13
01/11/20,3921.69
01/12/20,3925.38
01/01/21,3877.30
01/02/21,3886.14
01/03/21,3961.99
01/04/21,3934.02
01/05/21,3897.55
01/06/21,3942.05
01/07/21,3911.36
01/08/21,3876.47
01/09/21,3842.77
01/10/21,3781.61
01/11/21,3803.43
01/12/21,3806.74
01/01/22,3850.07
01/02/22,3901.05
01/03/22,3884.92
01/04/22,3841.71
01/05/22,3868.59
01/06/22,3901.13
01/07/22,3928.17
01/08/22,4016.28
01/09/22,4196.54
01/10/22,4299.00
01/11/22,4364.15
01/12/22,4419.78
01/01/23,4411.09
01/02/23,4353.72
01/03/23,4419.55
01/04/23,4454.78
01/05/23,4498.95
01/06/23,4490.34
01/07/23,4536.13
01/08/23,4704.04
01/09/23,4820.37
01/10/23,4910.40
01/11/23,4990.98
01/12/23,5038.66
01/01/24,5114.88
01/02/24,5223.85
01/03/24,5271.47
01/04/24,5307.17
01/05/24,5270.04
01/06/24,5279.68
01/07/24,5331.23
01/08/24,5287.87
01/09/24,5045.10
