date,price
1993-01-06,533.75
1993-01-13,542.5
1993-01-20,545.5
1993-01-27,538.25
1993-02-03,551.91
1993-02-10,539.62
1993-02-17,561.71
1993-02-24,573.0
1993-03-03,571.78
1993-03-10,570.88
1993-03-17,567.43
1993-03-24,569.62
1993-03-31,572.75
1993-04-07,568.0
1993-04-14,568.0
1993-04-21,576.55
1993-04-28,579.27
1993-05-05,594.4
1993-05-12,584.67
1993-05-19,608.4
1993-05-26,617.12
1993-06-02,652.14
1993-06-09,626.88
1993-06-16,665.0
1993-06-23,660.62
1993-06-30,637.22
1993-07-07,629.5
1993-07-14,652.71
1993-07-21,637.89
1993-07-28,646.43
1993-08-04,654.89
1993-08-11,664.25
1993-08-18,627.78
1993-08-25,619.0
1993-09-01,662.88
1993-09-08,660.73
1993-09-15,673.22
1993-09-22,672.1
1993-09-29,674.25
1993-10-06,678.1
1993-10-13,660.71
1993-10-20,654.67
1993-10-27,641.0
1993-11-03,644.89
1993-11-10,626.0
1993-11-17,641.75
1993-11-24,645.44
1993-12-01,617.38
1993-12-08,620.56
1993-12-15,626.25
1993-12-22,616.43
1993-12-29,626.43
1994-01-05,650.56
1994-01-12,603.12
1994-01-19,577.5
1994-01-26,600.71
1994-02-02,655.0
1994-02-09,651.67
1994-02-16,652.0
1994-02-23,677.8
1994-03-02,674.09
1994-03-09,694.88
1994-03-16,675.0
1994-03-23,708.57
1994-03-30,704.29
1994-04-06,685.0
1994-04-13,707.5
1994-04-20,653.6
1994-04-27,680.71
1994-05-04,674.44
1994-05-11,680.5
1994-05-18,629.38
1994-05-25,692.14
1994-06-01,658.33
1994-06-08,667.5
1994-06-15,665.89
1994-06-22,673.8
1994-06-29,668.89
1994-07-06,680.5
1994-07-13,693.18
1994-07-20,691.36
1994-07-27,660.71
1994-08-03,707.5
1994-08-10,695.0
1994-08-17,698.0
1994-08-24,696.67
1994-08-31,698.89
1994-09-07,714.0
1994-09-14,694.09
1994-09-21,698.64
1994-09-28,692.22
1994-10-05,688.5
1994-10-12,735.71
1994-10-19,685.91
1994-10-26,699.55
1994-11-02,711.0
1994-11-09,676.67
1994-11-16,683.3
1994-11-23,695.82
1994-11-30,725.71
1994-12-07,728.29
1994-12-14,714.0
1994-12-21,725.43
1994-12-28,697.14
1995-01-04,718.75
1995-01-11,684.55
1995-01-18,718.33
1995-01-25,678.67
1995-02-01,687.27
1995-02-08,673.0
1995-02-15,687.2
1995-02-22,694.5
1995-03-01,706.0
1995-03-08,731.43
1995-03-15,733.33
1995-03-22,735.56
1995-03-29,752.14
1995-04-05,733.0
1995-04-12,
1995-04-19,734.88
1995-04-26,735.5
1995-05-03,709.29
1995-05-10,737.5
1995-05-17,716.82
1995-05-24,728.5
1995-05-31,715.91
1995-06-07,712.5
1995-06-14,720.45
1995-06-21,709.55
1995-06-28,715.0
1995-07-05,709.44
1995-07-12,728.0
1995-07-19,751.88
1995-07-26,715.0
1995-08-02,752.78
1995-08-09,754.38
1995-08-16,737.22
1995-08-23,737.5
1995-08-30,764.29
1995-09-06,730.91
1995-09-13,725.0
1995-09-20,754.38
1995-09-27,756.5
1995-10-04,758.89
1995-10-11,756.67
1995-10-18,741.67
1995-10-25,737.5
1995-11-01,728.12
1995-11-08,700.45
1995-11-15,740.62
1995-11-22,731.67
1995-11-29,760.56
1995-12-06,736.82
1995-12-13,742.73
1995-12-20,727.73
1995-12-27,732.0
1996-01-03,738.75
1996-01-10,739.55
1996-01-17,744.09
1996-01-24,808.12
1996-01-31,793.33
1996-02-07,773.89
1996-02-14,777.0
1996-02-21,826.43
1996-02-28,826.43
1996-03-06,755.71
1996-03-13,797.0
1996-03-20,829.38
1996-03-27,823.57
1996-04-03,838.29
1996-04-10,863.0
1996-04-17,824.38
1996-04-24,814.29
1996-05-01,788.89
1996-05-08,793.89
1996-05-15,807.22
1996-05-22,849.29
1996-05-29,860.71
1996-06-05,851.43
1996-06-12,865.0
1996-06-19,865.0
1996-06-26,892.86
1996-07-03,887.5
1996-07-10,866.67
1996-07-17,858.89
1996-07-24,847.78
1996-07-31,848.33
1996-08-07,853.89
1996-08-14,851.5
1996-08-21,856.5
1996-08-28,872.5
1996-09-04,877.5
1996-09-11,870.0
1996-09-18,864.5
1996-09-25,869.0
1996-10-02,870.5
1996-10-03,870.5
1996-10-09,717.8
1996-10-16,849.0
1996-10-23,834.75
1996-10-30,806.86
1996-11-06,809.78
1996-11-13,814.12
1996-11-20,790.0
1996-11-27,820.0
1996-12-04,888.5
1996-12-11,835.38
1996-12-18,799.29
1996-12-25,831.0
1997-01-01,831.0
1997-01-08,837.8
1997-01-15,831.5
1997-01-22,849.5
1997-01-29,846.67
1997-02-05,835.56
1997-02-07,865.0
1997-02-12,841.5
1997-02-19,838.5
1997-02-26,805.0
1997-03-05,844.5
1997-03-12,844.5
1997-03-19,812.9
1997-03-26,857.57
1997-04-02,817.5
1997-04-09,860.5
1997-04-16,858.0
1997-04-23,861.7
1997-04-30,865.7
1997-05-07,878.2
1997-05-14,870.2
1997-05-21,848.5
1997-05-28,865.0
1997-06-04,853.0
1997-06-11,851.0
1997-06-18,845.5
1997-06-25,854.0
1997-07-02,865.0
1997-07-09,856.5
1997-07-16,863.0
1997-07-23,860.0
1997-07-30,860.0
1997-08-06,870.0
1997-08-13,860.0
1997-08-20,857.5
1997-08-27,862.5
1997-09-03,866.0
1997-09-10,863.5
1997-09-17,866.5
1997-09-24,854.0
1997-10-01,848.0
1997-10-08,849.0
1997-10-15,818.5
1997-10-22,838.0
1997-10-29,843.5
1997-11-05,844.0
1997-11-12,836.5
1997-11-19,832.0
1997-11-26,832.0
1997-12-03,830.0
1997-12-10,836.0
1997-12-17,843.0
1997-12-24,839.5
1997-12-31,844.5
1998-01-07,844.5
1998-01-14,848.5
1998-01-21,844.5
1998-01-28,844.5
1998-02-04,842.0
1998-02-11,835.0
1998-02-18,832.0
1998-02-25,831.0
1998-03-04,830.0
1998-03-11,850.56
1998-03-18,833.0
1998-03-25,823.0
1998-04-01,833.5
1998-04-08,835.5
1998-04-15,845.0
1998-04-22,848.0
1998-04-29,848.0
1998-05-06,844.0
1998-05-13,844.0
1998-05-20,839.0
1998-05-27,845.0
1998-06-03,842.0
1998-06-10,843.0
1998-06-17,854.0
1998-06-24,861.0
1998-07-01,828.75
1998-07-08,862.0
1998-07-15,835.62
1998-07-22,895.0
1998-07-29,904.0
1998-08-05,909.0
1998-08-12,918.5
1998-08-19,927.0
1998-08-26,934.5
1998-09-02,956.0
1998-09-09,963.89
1998-09-16,949.5
1998-09-23,947.5
1998-09-30,978.33
1998-10-07,960.5
1998-10-14,952.5
1998-10-21,947.5
1998-10-28,957.5
1998-11-04,952.5
1998-11-11,939.5
1998-11-18,943.5
1998-11-25,946.5
1998-12-02,980.56
1998-12-09,955.56
1998-12-16,922.0
1998-12-23,912.5
1998-12-30,917.5
1999-01-06,912.5
1999-01-13,907.5
1999-01-20,915.0
1999-01-27,925.0
1999-02-03,956.25
1999-02-10,925.0
1999-02-17,927.5
1999-02-24,990.62
1999-03-03,932.5
1999-03-10,859.38
1999-03-17,917.5
1999-03-24,925.0
1999-03-31,930.0
1999-04-07,925.0
1999-04-14,921.5
1999-04-21,959.38
1999-04-28,915.0
1999-05-05,939.5
1999-05-12,932.5
1999-05-19,946.5
1999-05-26,940.5
1999-06-02,955.0
1999-06-09,962.5
1999-06-16,980.0
1999-06-23,987.0
1999-06-30,990.0
1999-07-07,977.0
